7
 
O1s
 ,1,2,3,4
543.0000,14462.5000,16443.7500,17275.0000,17268.7500
542.9000,14193.7500,16643.7500,17012.5000,16693.7500
542.8000,14687.5000,16862.5000,17106.2500,17343.7500
542.7000,14356.2500,17643.7500,16825.0000,16850.0000
542.6000,14087.5000,16925.0000,16956.2500,17931.2500
542.5000,14287.5000,16806.2500,17318.7500,17187.5000
542.4000,14487.5000,16950.0000,16981.2500,17343.7500
542.3000,14256.2500,16962.5000,16768.7500,16650.0000
542.2000,14506.2500,16956.2500,16718.7500,16862.5000
542.1000,14443.7500,17000.0000,17306.2500,16975.0000
542.0000,14100.0000,16962.5000,17062.5000,17437.5000
541.9000,14718.7500,17456.2500,17168.7500,16987.5000
541.8000,14356.2500,16875.0000,17318.7500,17387.5000
541.7000,13675.0000,17618.7500,17293.7500,16856.2500
541.6000,14000.0000,17143.7500,17000.0000,17375.0000
541.5000,14550.0000,17587.5000,17218.7500,17237.5000
541.4000,13812.5000,16737.5000,16787.5000,17687.5000
541.3000,14343.7500,17331.2500,16556.2500,17443.7500
541.2000,13856.2500,16918.7500,16962.5000,17037.5000
541.1000,14281.2500,17100.0000,16943.7500,17012.5000
541.0000,14056.2500,16812.5000,16587.5000,17793.7500
540.9000,13843.7500,17493.7500,17218.7500,16487.5000
540.8000,14162.5000,17112.5000,17287.5000,16943.7500
540.7000,14543.7500,16931.2500,17062.5000,16731.2500
540.6000,14462.5000,16931.2500,16962.5000,17037.5000
540.5000,14231.2500,16793.7500,17412.5000,16950.0000
540.4000,14050.0000,16856.2500,17050.0000,16418.7500
540.3000,13587.5000,16831.2500,17262.5000,17106.2500
540.2000,13956.2500,17081.2500,17487.5000,16675.0000
540.1000,14012.5000,17106.2500,17500.0000,17562.5000
540.0000,13768.7500,16518.7500,16606.2500,16625.0000
539.9000,14618.7500,16943.7500,17050.0000,16993.7500
539.8000,13887.5000,16843.7500,16637.5000,16587.5000
539.7000,13587.5000,17137.5000,16950.0000,16931.2500
539.6000,14156.2500,17143.7500,16118.7500,16406.2500
539.5000,14262.5000,16837.5000,17193.7500,17356.2500
539.4000,13837.5000,16981.2500,16418.7500,16631.2500
539.3000,14250.0000,17181.2500,17187.5000,16487.5000
539.2000,14018.7500,16937.5000,16593.7500,16581.2500
539.1000,14112.5000,17000.0000,16806.2500,17000.0000
539.0000,12981.2500,16487.5000,16800.0000,16956.2500
538.9000,13962.5000,17000.0000,17243.7500,16937.5000
538.8000,13400.0000,16656.2500,16793.7500,16825.0000
538.7000,13656.2500,16718.7500,17087.5000,16987.5000
