2
 
C1s
 ,1,2,3,4
298.0000,2231.2500,2387.5000,2268.7500,2393.7500
297.9000,2250.0000,2331.2500,2243.7500,2331.2500
297.8000,2056.2500,2125.0000,2231.2500,2318.7500
297.7000,2512.5000,2312.5000,2112.5000,2337.5000
297.6000,2306.2500,2193.7500,2300.0000,2356.2500
297.5000,2306.2500,2331.2500,2218.7500,2400.0000
297.4000,2200.0000,2225.0000,2337.5000,2300.0000
297.3000,2318.7500,2212.5000,2325.0000,2375.0000
297.2000,2418.7500,2250.0000,2187.5000,2600.0000
297.1000,2518.7500,2300.0000,2268.7500,2337.5000
297.0000,2181.2500,2125.0000,2212.5000,2250.0000
296.9000,2506.2500,2350.0000,2331.2500,2237.5000
296.8000,2537.5000,2250.0000,2312.5000,2412.5000
296.7000,2487.5000,2268.7500,2256.2500,2337.5000
296.6000,2268.7500,2237.5000,2156.2500,2506.2500
296.5000,2431.2500,2343.7500,2337.5000,2437.5000
296.4000,2450.0000,2206.2500,2256.2500,2393.7500
296.3000,2268.7500,2212.5000,2262.5000,2356.2500
296.2000,2206.2500,2387.5000,2212.5000,2443.7500
296.1000,2406.2500,2381.2500,2400.0000,2387.5000
296.0000,2337.5000,2437.5000,2325.0000,2275.0000
295.9000,2406.2500,2393.7500,2487.5000,2318.7500
295.8000,2181.2500,2337.5000,2400.0000,2393.7500
295.7000,2418.7500,2400.0000,2318.7500,2493.7500
295.6000,2306.2500,2450.0000,2431.2500,2487.5000
295.5000,2575.0000,2287.5000,2450.0000,2425.0000
295.4000,2312.5000,2212.5000,2500.0000,2300.0000
295.3000,2437.5000,2243.7500,2356.2500,2293.7500
295.2000,2381.2500,2293.7500,2275.0000,2375.0000
295.1000,2350.0000,2175.0000,2350.0000,2275.0000
295.0000,2337.5000,2018.7500,2200.0000,2431.2500
294.9000,2293.7500,2306.2500,2300.0000,2300.0000
294.8000,2462.5000,2137.5000,2350.0000,2425.0000
294.7000,2306.2500,2406.2500,2262.5000,2093.7500
294.6000,2200.0000,2293.7500,2362.5000,2712.5000
294.5000,2150.0000,2312.5000,2318.7500,2343.7500
294.4000,2312.5000,2450.0000,2537.5000,2712.5000
294.3000,2331.2500,2487.5000,2493.7500,2425.0000
294.2000,2225.0000,2150.0000,2462.5000,2262.5000
294.1000,2012.5000,2343.7500,2331.2500,2537.5000
294.0000,2368.7500,2318.7500,2350.0000,2387.5000
293.9000,2181.2500,2187.5000,2393.7500,2350.0000
293.8000,2206.2500,2306.2500,2331.2500,2331.2500
293.7000,2156.2500,2356.2500,2450.0000,2468.7500
293.6000,2187.5000,2437.5000,2531.2500,2412.5000
293.5000,2081.2500,2081.2500,2512.5000,2243.7500
293.4000,2268.7500,2312.5000,2493.7500,2393.7500
293.3000,2206.2500,2156.2500,2368.7500,2431.2500
293.2000,2275.0000,2275.0000,2418.7500,2475.0000
293.1000,2387.5000,2031.2500,2562.5000,2312.5000
293.0000,2200.0000,2343.7500,2425.0000,2406.2500
292.9000,2468.7500,2225.0000,2387.5000,2168.7500
292.8000,2243.7500,2050.0000,2281.2500,2431.2500
292.7000,2406.2500,2356.2500,2506.2500,2362.5000
292.6000,2337.5000,2393.7500,2262.5000,2600.0000
292.5000,2318.7500,2418.7500,2425.0000,2506.2500
292.4000,2187.5000,2231.2500,2331.2500,2431.2500
292.3000,2343.7500,2312.5000,2368.7500,2537.5000
292.2000,2450.0000,2212.5000,2393.7500,2550.0000
292.1000,2362.5000,2181.2500,2200.0000,2412.5000
292.0000,2225.0000,2250.0000,2531.2500,2368.7500
291.9000,2475.0000,2412.5000,2293.7500,2462.5000
291.8000,2318.7500,2393.7500,2306.2500,2268.7500
291.7000,2556.2500,2387.5000,2150.0000,2381.2500
291.6000,2387.5000,2168.7500,2300.0000,2387.5000
291.5000,2331.2500,2137.5000,2300.0000,2387.5000
291.4000,2331.2500,2300.0000,2387.5000,2162.5000
291.3000,2400.0000,2512.5000,2206.2500,2350.0000
291.2000,2281.2500,2150.0000,2300.0000,2425.0000
