1
 
C1s
 ,1,2,3,4
298.0000,2793.7500,2631.2500,2593.7500,2337.5000
297.9000,2718.7500,2606.2500,2543.7500,2400.0000
297.8000,2712.5000,2637.5000,2431.2500,2500.0000
297.7000,2650.0000,2718.7500,2762.5000,2537.5000
297.6000,2768.7500,2581.2500,2462.5000,2518.7500
297.5000,2637.5000,2606.2500,2537.5000,2037.5000
297.4000,2612.5000,2581.2500,2562.5000,2737.5000
297.3000,2737.5000,2550.0000,2550.0000,2318.7500
297.2000,2800.0000,2781.2500,2562.5000,2643.7500
297.1000,2706.2500,2493.7500,2593.7500,2268.7500
297.0000,2812.5000,2693.7500,2512.5000,2575.0000
296.9000,2756.2500,2468.7500,2706.2500,2375.0000
296.8000,2500.0000,2531.2500,2531.2500,2268.7500
296.7000,2468.7500,2593.7500,2437.5000,2243.7500
296.6000,2543.7500,2731.2500,2531.2500,2512.5000
296.5000,2725.0000,2381.2500,2575.0000,2325.0000
296.4000,2837.5000,2737.5000,2687.5000,2512.5000
296.3000,2818.7500,2531.2500,2506.2500,2400.0000
296.2000,2600.0000,2537.5000,2725.0000,2637.5000
296.1000,2787.5000,2531.2500,2775.0000,2525.0000
296.0000,2650.0000,2531.2500,2781.2500,2312.5000
295.9000,2862.5000,2562.5000,2631.2500,2375.0000
295.8000,2612.5000,2762.5000,2781.2500,2456.2500
295.7000,2875.0000,2725.0000,2575.0000,2393.7500
295.6000,2618.7500,2662.5000,2700.0000,2431.2500
295.5000,2606.2500,2387.5000,2381.2500,2456.2500
295.4000,2618.7500,2656.2500,2825.0000,2568.7500
295.3000,2600.0000,2581.2500,2537.5000,2350.0000
295.2000,2793.7500,2600.0000,2412.5000,2381.2500
295.1000,2681.2500,2612.5000,2518.7500,2443.7500
295.0000,2706.2500,2556.2500,2362.5000,2412.5000
294.9000,2756.2500,2250.0000,2625.0000,2425.0000
294.8000,2718.7500,2525.0000,2406.2500,2200.0000
294.7000,2650.0000,2375.0000,2500.0000,2475.0000
294.6000,2731.2500,2537.5000,2543.7500,2275.0000
294.5000,2756.2500,2475.0000,2450.0000,2362.5000
294.4000,2768.7500,2525.0000,2450.0000,2387.5000
294.3000,2556.2500,2431.2500,2643.7500,2293.7500
294.2000,2637.5000,2550.0000,2375.0000,2418.7500
294.1000,2450.0000,2368.7500,2475.0000,2462.5000
294.0000,2618.7500,2362.5000,2493.7500,2475.0000
293.9000,2656.2500,2562.5000,2506.2500,2456.2500
293.8000,2568.7500,2606.2500,2481.2500,2450.0000
293.7000,2625.0000,2200.0000,2481.2500,2550.0000
293.6000,2656.2500,2668.7500,2456.2500,2531.2500
293.5000,2700.0000,2381.2500,2525.0000,2443.7500
293.4000,2650.0000,2456.2500,2393.7500,2518.7500
293.3000,2700.0000,2462.5000,2400.0000,2356.2500
293.2000,2781.2500,2362.5000,2437.5000,2475.0000
293.1000,2556.2500,2562.5000,2525.0000,2525.0000
293.0000,2731.2500,2393.7500,2650.0000,2481.2500
292.9000,2675.0000,2362.5000,2487.5000,2537.5000
292.8000,2656.2500,2462.5000,2687.5000,2512.5000
292.7000,2743.7500,2437.5000,2675.0000,2568.7500
292.6000,2631.2500,2800.0000,2618.7500,2425.0000
292.5000,2637.5000,2500.0000,2525.0000,2606.2500
292.4000,2625.0000,2581.2500,2681.2500,2450.0000
292.3000,2850.0000,2443.7500,2575.0000,2481.2500
292.2000,2712.5000,2562.5000,2762.5000,2393.7500
292.1000,2618.7500,2431.2500,2656.2500,2487.5000
292.0000,2756.2500,2281.2500,2506.2500,2525.0000
291.9000,2700.0000,2625.0000,2737.5000,2468.7500
291.8000,2643.7500,2225.0000,2500.0000,2418.7500
291.7000,2556.2500,2331.2500,2675.0000,2543.7500
291.6000,2575.0000,2393.7500,2606.2500,2543.7500
291.5000,2893.7500,2393.7500,2650.0000,2500.0000
291.4000,2693.7500,2525.0000,2756.2500,2525.0000
291.3000,2837.5000,2637.5000,2618.7500,2406.2500
291.2000,2762.5000,2481.2500,2475.0000,2631.2500
291.1000,2843.7500,2512.5000,2418.7500,2306.2500
291.0000,2756.2500,2331.2500,2456.2500,2581.2500
290.9000,2975.0000,2425.0000,2562.5000,2468.7500
290.8000,2875.0000,2350.0000,2593.7500,2906.2500
290.7000,2818.7500,2606.2500,2381.2500,2481.2500
290.6000,2818.7500,2500.0000,2393.7500,2531.2500
290.5000,2850.0000,2556.2500,2475.0000,2412.5000
290.4000,2943.7500,2343.7500,2412.5000,2325.0000
290.3000,2793.7500,2412.5000,2537.5000,2537.5000
290.2000,2812.5000,2375.0000,2293.7500,2581.2500
290.1000,2800.0000,2568.7500,2456.2500,2475.0000
290.0000,2793.7500,2468.7500,2631.2500,2581.2500
289.9000,3043.7500,2618.7500,2462.5000,2493.7500
289.8000,2968.7500,2381.2500,2537.5000,2437.5000
289.7000,2912.5000,2731.2500,2375.0000,2562.5000
289.6000,3237.5000,2393.7500,2662.5000,2493.7500
289.5000,3106.2500,2481.2500,2450.0000,2375.0000
289.4000,3300.0000,2506.2500,2600.0000,2487.5000
289.3000,3356.2500,2543.7500,2412.5000,2381.2500
289.2000,3506.2500,2300.0000,2325.0000,2625.0000
289.1000,3193.7500,2750.0000,2706.2500,2306.2500
289.0000,3350.0000,2643.7500,2375.0000,2537.5000
288.9000,3575.0000,2450.0000,2512.5000,2381.2500
288.8000,3481.2500,2337.5000,2475.0000,2468.7500
288.7000,3387.5000,2600.0000,2393.7500,2606.2500
288.6000,3506.2500,2475.0000,2593.7500,2437.5000
288.5000,3406.2500,2456.2500,2437.5000,2662.5000
288.4000,3462.5000,2493.7500,2487.5000,2568.7500
288.3000,3393.7500,2425.0000,2475.0000,2587.5000
288.2000,3337.5000,2431.2500,2387.5000,2381.2500
288.1000,3406.2500,2750.0000,2406.2500,2450.0000
288.0000,3193.7500,2593.7500,2493.7500,2487.5000
287.9000,3400.0000,2737.5000,2412.5000,2375.0000
287.8000,3406.2500,2468.7500,2443.7500,2418.7500
287.7000,3431.2500,2768.7500,2562.5000,2693.7500
287.6000,3750.0000,2275.0000,2487.5000,2462.5000
287.5000,3525.0000,2487.5000,2662.5000,2525.0000
287.4000,3756.2500,2375.0000,2618.7500,2306.2500
287.3000,3806.2500,2712.5000,2568.7500,2668.7500
287.2000,3962.5000,2556.2500,2812.5000,2418.7500
287.1000,3956.2500,2475.0000,2493.7500,2543.7500
287.0000,4262.5000,2550.0000,2606.2500,2431.2500
286.9000,4175.0000,2468.7500,2550.0000,2656.2500
286.8000,4725.0000,2643.7500,2725.0000,2293.7500
286.7000,4712.5000,2481.2500,2531.2500,2537.5000
286.6000,4981.2500,2400.0000,2493.7500,2356.2500
286.5000,4956.2500,2693.7500,2543.7500,2456.2500
286.4000,5212.5000,2537.5000,2606.2500,2575.0000
286.3000,5137.5000,2818.7500,2700.0000,2312.5000
286.2000,5225.0000,2600.0000,2643.7500,2450.0000
286.1000,5318.7500,2643.7500,2556.2500,2506.2500
286.0000,5900.0000,2625.0000,2506.2500,2412.5000
285.9000,6118.7500,2787.5000,2600.0000,2687.5000
285.8000,6368.7500,2650.0000,2625.0000,2287.5000
285.7000,6450.0000,2387.5000,2600.0000,2593.7500
285.6000,6725.0000,2481.2500,2612.5000,2325.0000
285.5000,7181.2500,2562.5000,2662.5000,2556.2500
285.4000,7143.7500,2618.7500,2593.7500,2343.7500
285.3000,7387.5000,2600.0000,2656.2500,2456.2500
285.2000,7087.5000,2750.0000,2675.0000,2343.7500
285.1000,7418.7500,2606.2500,2637.5000,2693.7500
285.0000,6881.2500,2725.0000,2456.2500,2556.2500
284.9000,6806.2500,2518.7500,2762.5000,2612.5000
284.8000,6662.5000,2843.7500,2700.0000,2468.7500
284.7000,6431.2500,2425.0000,2718.7500,2518.7500
284.6000,6325.0000,2712.5000,2587.5000,2500.0000
284.5000,5618.7500,2643.7500,2756.2500,2593.7500
284.4000,5143.7500,2568.7500,2375.0000,2606.2500
284.3000,5387.5000,2625.0000,2525.0000,2656.2500
284.2000,4431.2500,2731.2500,2462.5000,2518.7500
284.1000,4443.7500,2418.7500,2331.2500,2656.2500
284.0000,3768.7500,2768.7500,2462.5000,2425.0000
283.9000,3562.5000,2756.2500,2668.7500,2412.5000
283.8000,3200.0000,2625.0000,2506.2500,2762.5000
283.7000,3175.0000,2487.5000,2725.0000,2725.0000
283.6000,3087.5000,2606.2500,2506.2500,2725.0000
283.5000,3012.5000,2762.5000,2718.7500,2712.5000
283.4000,2962.5000,2718.7500,2568.7500,2537.5000
283.3000,2900.0000,2725.0000,2612.5000,2637.5000
283.2000,2912.5000,2906.2500,2868.7500,2625.0000
283.1000,2918.7500,2856.2500,2562.5000,2875.0000
283.0000,2837.5000,2937.5000,2768.7500,2643.7500
282.9000,2681.2500,2900.0000,2750.0000,3050.0000
282.8000,2668.7500,2918.7500,2662.5000,2868.7500
282.7000,2812.5000,2687.5000,2812.5000,2981.2500
282.6000,2631.2500,2931.2500,3062.5000,3068.7500
282.5000,2481.2500,3168.7500,3181.2500,2943.7500
282.4000,2581.2500,2956.2500,3025.0000,3125.0000
282.3000,2537.5000,3106.2500,2931.2500,3243.7500
282.2000,2831.2500,3031.2500,2868.7500,3093.7500
282.1000,2568.7500,3018.7500,2843.7500,2956.2500
282.0000,2775.0000,3162.5000,2993.7500,2800.0000
281.9000,2475.0000,2731.2500,2887.5000,2750.0000
281.8000,2400.0000,2806.2500,2793.7500,2631.2500
281.7000,2481.2500,2593.7500,2718.7500,2512.5000
281.6000,2350.0000,2743.7500,2581.2500,2500.0000
281.5000,2325.0000,2512.5000,2606.2500,2543.7500
281.4000,2350.0000,2600.0000,2606.2500,2562.5000
281.3000,2368.7500,2418.7500,2481.2500,2356.2500
281.2000,2281.2500,2506.2500,2656.2500,2475.0000
281.1000,2387.5000,2481.2500,2462.5000,2362.5000
281.0000,2456.2500,2368.7500,2293.7500,2406.2500
280.9000,2456.2500,2281.2500,2462.5000,2368.7500
280.8000,2168.7500,2381.2500,2593.7500,2493.7500
280.7000,2218.7500,2368.7500,2356.2500,2337.5000
280.6000,2356.2500,2375.0000,2356.2500,2493.7500
280.5000,2287.5000,2562.5000,2481.2500,2575.0000
280.4000,2268.7500,2256.2500,2662.5000,2512.5000
280.3000,2250.0000,2200.0000,2493.7500,2437.5000
280.2000,2281.2500,2293.7500,2337.5000,2356.2500
280.1000,2350.0000,2331.2500,2425.0000,2587.5000
280.0000,2306.2500,2243.7500,2262.5000,2437.5000
279.9000,2281.2500,2250.0000,2562.5000,2450.0000
279.8000,2250.0000,2406.2500,2406.2500,2231.2500
279.7000,2443.7500,2343.7500,2412.5000,2518.7500
279.6000,2250.0000,2387.5000,2425.0000,2531.2500
279.5000,2468.7500,2412.5000,2431.2500,2550.0000
279.4000,2362.5000,2468.7500,2387.5000,2406.2500
279.3000,2593.7500,2312.5000,2168.7500,2718.7500
279.2000,2312.5000,2375.0000,2287.5000,2500.0000
279.1000,2456.2500,2362.5000,2393.7500,2493.7500
279.0000,2306.2500,2506.2500,2306.2500,2400.0000
278.9000,2362.5000,2431.2500,2562.5000,2343.7500
278.8000,2400.0000,2268.7500,2350.0000,2418.7500
278.7000,2237.5000,2381.2500,2406.2500,2200.0000
278.6000,2293.7500,2168.7500,2331.2500,2381.2500
