3
 
C1s
 ,1,2,3,4
298.0000,2362.5000,2250.0000,2143.7500,2331.2500
297.9000,2343.7500,2250.0000,2250.0000,2081.2500
297.8000,2293.7500,1950.0000,2243.7500,2256.2500
297.7000,2212.5000,2118.7500,2025.0000,2093.7500
297.6000,2131.2500,2300.0000,2100.0000,2331.2500
297.5000,2262.5000,1987.5000,1975.0000,1775.0000
297.4000,2193.7500,2000.0000,2137.5000,2187.5000
297.3000,2143.7500,2112.5000,1881.2500,1806.2500
297.2000,2300.0000,2050.0000,2193.7500,2318.7500
297.1000,2175.0000,2156.2500,1993.7500,1850.0000
297.0000,2137.5000,2143.7500,2218.7500,2181.2500
296.9000,2262.5000,1981.2500,1881.2500,2081.2500
296.8000,2162.5000,1937.5000,2225.0000,2012.5000
296.7000,2168.7500,2175.0000,2068.7500,2000.0000
296.6000,2168.7500,1981.2500,2062.5000,2168.7500
296.5000,2306.2500,1950.0000,1962.5000,1875.0000
296.4000,2075.0000,1893.7500,2137.5000,2156.2500
296.3000,2262.5000,2037.5000,2125.0000,2031.2500
296.2000,2137.5000,2087.5000,2037.5000,2193.7500
296.1000,2362.5000,2043.7500,2125.0000,2206.2500
296.0000,2225.0000,2012.5000,2018.7500,2006.2500
295.9000,2393.7500,2187.5000,2168.7500,1937.5000
295.8000,2112.5000,2268.7500,2268.7500,2031.2500
295.7000,2375.0000,2081.2500,2056.2500,1975.0000
295.6000,2081.2500,2187.5000,2237.5000,2125.0000
295.5000,2162.5000,2181.2500,2043.7500,2075.0000
295.4000,2350.0000,2037.5000,2225.0000,2112.5000
295.3000,2287.5000,2162.5000,2031.2500,2056.2500
295.2000,2168.7500,2081.2500,2125.0000,2287.5000
295.1000,2206.2500,2131.2500,2200.0000,2175.0000
295.0000,2300.0000,1906.2500,2256.2500,2137.5000
294.9000,2437.5000,1981.2500,2193.7500,2318.7500
294.8000,2181.2500,2018.7500,2125.0000,2000.0000
294.7000,2137.5000,2312.5000,2268.7500,2406.2500
294.6000,2350.0000,2150.0000,2068.7500,2131.2500
294.5000,2068.7500,2068.7500,2181.2500,2187.5000
294.4000,2356.2500,1975.0000,2018.7500,2175.0000
294.3000,2381.2500,2018.7500,2031.2500,2112.5000
294.2000,2225.0000,2268.7500,2025.0000,1975.0000
294.1000,2518.7500,2062.5000,2168.7500,2206.2500
294.0000,2075.0000,1968.7500,1931.2500,2106.2500
293.9000,2462.5000,2218.7500,2068.7500,2131.2500
293.8000,2212.5000,2081.2500,1981.2500,1968.7500
293.7000,2337.5000,1987.5000,2006.2500,2118.7500
293.6000,2250.0000,1800.0000,2043.7500,2187.5000
293.5000,2193.7500,2112.5000,2118.7500,2206.2500
293.4000,2125.0000,1893.7500,2093.7500,2168.7500
293.3000,2281.2500,2243.7500,2075.0000,2100.0000
293.2000,2006.2500,1968.7500,2068.7500,2206.2500
293.1000,2318.7500,2100.0000,2025.0000,2093.7500
293.0000,2187.5000,2206.2500,2137.5000,2068.7500
292.9000,2356.2500,1925.0000,2156.2500,2156.2500
292.8000,2175.0000,2037.5000,2137.5000,2243.7500
292.7000,2225.0000,1981.2500,2168.7500,2018.7500
292.6000,2318.7500,2243.7500,1987.5000,1956.2500
292.5000,2143.7500,1950.0000,2175.0000,1975.0000
292.4000,1956.2500,1962.5000,2193.7500,2031.2500
292.3000,2193.7500,1900.0000,2068.7500,2175.0000
292.2000,2443.7500,2193.7500,2125.0000,1962.5000
292.1000,2587.5000,1925.0000,2006.2500,2050.0000
292.0000,2350.0000,2031.2500,2193.7500,2018.7500
291.9000,2443.7500,2012.5000,2018.7500,2225.0000
291.8000,2387.5000,2062.5000,2093.7500,2068.7500
291.7000,2418.7500,2062.5000,2125.0000,2125.0000
291.6000,2231.2500,1862.5000,2225.0000,2156.2500
291.5000,2331.2500,2168.7500,2143.7500,2137.5000
291.4000,2475.0000,2118.7500,2412.5000,2162.5000
291.3000,2331.2500,2268.7500,2250.0000,2100.0000
291.2000,2375.0000,2075.0000,2012.5000,2031.2500
291.1000,2306.2500,2100.0000,2068.7500,1956.2500
291.0000,2450.0000,2075.0000,2143.7500,2025.0000
290.9000,2250.0000,1931.2500,2118.7500,1943.7500
290.8000,2350.0000,2100.0000,2143.7500,2068.7500
290.7000,2200.0000,2012.5000,2050.0000,1918.7500
290.6000,2618.7500,2175.0000,2175.0000,2175.0000
290.5000,2387.5000,2018.7500,2043.7500,2068.7500
290.4000,2343.7500,2193.7500,2075.0000,2062.5000
290.3000,2281.2500,2062.5000,2112.5000,2075.0000
290.2000,2381.2500,2056.2500,2093.7500,1987.5000
290.1000,2162.5000,2037.5000,2056.2500,1925.0000
290.0000,2531.2500,2243.7500,2100.0000,1868.7500
289.9000,2468.7500,2181.2500,2056.2500,2018.7500
289.8000,2850.0000,2293.7500,2118.7500,2225.0000
289.7000,2487.5000,2256.2500,1850.0000,1831.2500
289.6000,2706.2500,2156.2500,2243.7500,2243.7500
289.5000,2550.0000,2287.5000,1943.7500,1981.2500
289.4000,2800.0000,2081.2500,2106.2500,2006.2500
289.3000,3025.0000,2187.5000,2106.2500,2075.0000
289.2000,2631.2500,2112.5000,2218.7500,2206.2500
289.1000,2793.7500,1962.5000,1981.2500,2012.5000
289.0000,2937.5000,1968.7500,2293.7500,2118.7500
288.9000,2818.7500,2075.0000,1950.0000,1987.5000
288.8000,2956.2500,1981.2500,2206.2500,2150.0000
288.7000,2768.7500,2125.0000,2093.7500,2037.5000
288.6000,2762.5000,2025.0000,1975.0000,2181.2500
288.5000,2712.5000,2168.7500,2050.0000,2056.2500
288.4000,2737.5000,2337.5000,2200.0000,2162.5000
288.3000,2706.2500,2056.2500,2050.0000,2043.7500
288.2000,2881.2500,2068.7500,2212.5000,1906.2500
288.1000,2481.2500,2106.2500,2131.2500,1856.2500
288.0000,2812.5000,2031.2500,2000.0000,2012.5000
287.9000,2687.5000,2037.5000,2075.0000,1806.2500
287.8000,2906.2500,2100.0000,2075.0000,1818.7500
287.7000,2725.0000,2056.2500,1987.5000,1768.7500
287.6000,2837.5000,2150.0000,2043.7500,1931.2500
287.5000,3000.0000,1975.0000,1937.5000,1800.0000
287.4000,3225.0000,2075.0000,2037.5000,2000.0000
287.3000,3443.7500,2150.0000,2043.7500,2193.7500
287.2000,3250.0000,2018.7500,2125.0000,1943.7500
287.1000,3406.2500,2100.0000,1906.2500,1956.2500
287.0000,3762.5000,2093.7500,1931.2500,1862.5000
286.9000,3500.0000,2018.7500,2056.2500,2118.7500
286.8000,3950.0000,2068.7500,2075.0000,2143.7500
286.7000,4037.5000,2018.7500,2100.0000,1831.2500
286.6000,4043.7500,2043.7500,2043.7500,2143.7500
286.5000,4193.7500,2062.5000,2093.7500,2156.2500
286.4000,4300.0000,2106.2500,2093.7500,2118.7500
286.3000,4550.0000,1862.5000,2018.7500,1962.5000
286.2000,4737.5000,2181.2500,2037.5000,2056.2500
286.1000,5087.5000,2062.5000,2150.0000,2106.2500
286.0000,5012.5000,2206.2500,1912.5000,1968.7500
285.9000,5412.5000,2131.2500,2206.2500,2200.0000
285.8000,5675.0000,2156.2500,2012.5000,1962.5000
285.7000,5793.7500,2237.5000,2081.2500,2137.5000
285.6000,6106.2500,2193.7500,2187.5000,2181.2500
285.5000,6143.7500,2268.7500,2025.0000,2168.7500
285.4000,6262.5000,2225.0000,2175.0000,2150.0000
285.3000,6562.5000,2100.0000,2168.7500,2068.7500
285.2000,6168.7500,2300.0000,2206.2500,2012.5000
285.1000,6525.0000,2243.7500,2112.5000,2262.5000
285.0000,5868.7500,2206.2500,2175.0000,2356.2500
284.9000,5831.2500,2000.0000,2300.0000,2262.5000
284.8000,5093.7500,2106.2500,2025.0000,1975.0000
284.7000,5231.2500,2237.5000,2293.7500,1981.2500
284.6000,4825.0000,2193.7500,2162.5000,2075.0000
284.5000,4668.7500,2156.2500,2368.7500,1912.5000
284.4000,4175.0000,2281.2500,2106.2500,2275.0000
284.3000,4275.0000,2168.7500,2243.7500,2143.7500
284.2000,3687.5000,2212.5000,2362.5000,2118.7500
284.1000,3400.0000,2143.7500,2062.5000,2118.7500
284.0000,3087.5000,2093.7500,2193.7500,2012.5000
283.9000,3025.0000,2206.2500,2306.2500,2168.7500
283.8000,2825.0000,2093.7500,2193.7500,1918.7500
283.7000,2787.5000,2412.5000,2212.5000,2256.2500
283.6000,2481.2500,2200.0000,2243.7500,2106.2500
283.5000,2643.7500,2462.5000,2300.0000,2312.5000
283.4000,2350.0000,2256.2500,2256.2500,2250.0000
283.3000,2518.7500,2475.0000,2437.5000,2431.2500
283.2000,2431.2500,2443.7500,2350.0000,2287.5000
283.1000,2343.7500,2475.0000,2175.0000,2281.2500
283.0000,2343.7500,2400.0000,2462.5000,2406.2500
282.9000,2437.5000,2487.5000,2143.7500,2318.7500
282.8000,2375.0000,2418.7500,2506.2500,2300.0000
282.7000,2225.0000,2493.7500,2175.0000,2381.2500
