6
 
O1s
 ,1,2,3,4
543.0000,13981.2500,15987.5000,16006.2500,16250.0000
542.9000,15081.2500,15812.5000,15681.2500,15318.7500
542.8000,14837.5000,15581.2500,15818.7500,16412.5000
542.7000,14300.0000,15937.5000,15800.0000,16168.7500
542.6000,14825.0000,16218.7500,16337.5000,16581.2500
542.5000,14237.5000,15525.0000,15512.5000,15868.7500
542.4000,14568.7500,16062.5000,16200.0000,15925.0000
542.3000,14337.5000,16425.0000,15831.2500,15662.5000
542.2000,14318.7500,16281.2500,16537.5000,16337.5000
542.1000,14543.7500,16281.2500,16387.5000,16062.5000
542.0000,14331.2500,16412.5000,15843.7500,16168.7500
541.9000,14218.7500,16412.5000,15825.0000,16050.0000
541.8000,14625.0000,16231.2500,15893.7500,15818.7500
541.7000,14356.2500,15868.7500,16075.0000,16125.0000
541.6000,14125.0000,15931.2500,16175.0000,15681.2500
541.5000,14400.0000,16237.5000,15900.0000,15968.7500
541.4000,14681.2500,15925.0000,15868.7500,15850.0000
541.3000,14768.7500,16375.0000,16456.2500,16093.7500
541.2000,14268.7500,16112.5000,15962.5000,16118.7500
541.1000,14262.5000,16137.5000,16362.5000,16175.0000
541.0000,13806.2500,15887.5000,16043.7500,16600.0000
540.9000,13968.7500,15831.2500,15956.2500,15650.0000
540.8000,14106.2500,15487.5000,16081.2500,15993.7500
540.7000,14175.0000,15718.7500,15906.2500,15768.7500
540.6000,14068.7500,16081.2500,15587.5000,16075.0000
540.5000,14093.7500,15762.5000,15581.2500,15918.7500
540.4000,14500.0000,15450.0000,15775.0000,15362.5000
540.3000,13743.7500,16500.0000,16043.7500,16125.0000
540.2000,14118.7500,15493.7500,16100.0000,15606.2500
540.1000,13918.7500,16031.2500,15793.7500,15950.0000
540.0000,14006.2500,15456.2500,16131.2500,15837.5000
539.9000,14281.2500,16068.7500,16206.2500,15618.7500
539.8000,14025.0000,15743.7500,15637.5000,15806.2500
539.7000,13712.5000,15475.0000,16318.7500,15887.5000
539.6000,14193.7500,15987.5000,15606.2500,16212.5000
539.5000,13506.2500,16018.7500,16225.0000,15887.5000
539.4000,14425.0000,15450.0000,15912.5000,16306.2500
539.3000,13793.7500,15968.7500,15393.7500,15775.0000
539.2000,14337.5000,15781.2500,15987.5000,16000.0000
539.1000,13600.0000,15412.5000,16275.0000,16068.7500
539.0000,14025.0000,15950.0000,15375.0000,15687.5000
538.9000,14068.7500,15587.5000,16612.5000,16562.5000
538.8000,14068.7500,15837.5000,15825.0000,15675.0000
538.7000,13762.5000,15687.5000,16125.0000,15762.5000
538.6000,13518.7500,15700.0000,16031.2500,16118.7500
538.5000,13781.2500,15725.0000,16150.0000,16137.5000
538.4000,13756.2500,16450.0000,16718.7500,15568.7500
538.3000,13712.5000,15393.7500,15737.5000,16331.2500
538.2000,13881.2500,16087.5000,16156.2500,16793.7500
538.1000,13506.2500,15706.2500,15493.7500,16175.0000
538.0000,13687.5000,16137.5000,16050.0000,16050.0000
537.9000,14143.7500,16231.2500,15631.2500,16281.2500
537.8000,13993.7500,15687.5000,16600.0000,15781.2500
537.7000,14006.2500,16306.2500,16137.5000,15775.0000
537.6000,13975.0000,15612.5000,15831.2500,15918.7500
537.5000,13850.0000,16406.2500,16418.7500,15818.7500
537.4000,13931.2500,15550.0000,15668.7500,16156.2500
537.3000,13718.7500,16268.7500,16050.0000,15856.2500
537.2000,14125.0000,15918.7500,15612.5000,16012.5000
537.1000,13562.5000,15706.2500,16550.0000,16268.7500
537.0000,14000.0000,15268.7500,15318.7500,15825.0000
536.9000,13525.0000,15606.2500,15775.0000,16268.7500
536.8000,13850.0000,15718.7500,15756.2500,15587.5000
536.7000,13593.7500,15931.2500,15962.5000,16512.5000
536.6000,13318.7500,15268.7500,15887.5000,16181.2500
536.5000,13481.2500,15687.5000,16293.7500,16393.7500
536.4000,13943.7500,15687.5000,15762.5000,16225.0000
536.3000,13706.2500,15906.2500,15743.7500,16125.0000
536.2000,13700.0000,16162.5000,15593.7500,16087.5000
536.1000,14043.7500,16162.5000,15700.0000,15312.5000
536.0000,13893.7500,16225.0000,15806.2500,15981.2500
535.9000,14431.2500,16556.2500,15987.5000,15737.5000
535.8000,13893.7500,15518.7500,15537.5000,16400.0000
535.7000,14175.0000,15625.0000,16443.7500,16075.0000
