4
 
O1s
 ,1,2,3,4
543.0000,12225.0000,15043.7500,14662.5000,14300.0000
542.9000,12387.5000,15131.2500,14762.5000,14237.5000
542.8000,12406.2500,14637.5000,14831.2500,14962.5000
542.7000,12837.5000,15362.5000,14881.2500,14475.0000
542.6000,12456.2500,14118.7500,15006.2500,14362.5000
542.5000,12856.2500,14650.0000,14943.7500,14737.5000
542.4000,12731.2500,14356.2500,14512.5000,14287.5000
542.3000,13106.2500,14050.0000,14325.0000,14087.5000
542.2000,12393.7500,15143.7500,15475.0000,14331.2500
542.1000,12187.5000,14743.7500,14718.7500,14343.7500
542.0000,12962.5000,14443.7500,14681.2500,14725.0000
541.9000,12468.7500,14800.0000,14143.7500,13943.7500
541.8000,12300.0000,15000.0000,14637.5000,14550.0000
541.7000,12756.2500,14700.0000,14168.7500,14181.2500
541.6000,12406.2500,14556.2500,14962.5000,14975.0000
541.5000,12900.0000,14868.7500,14181.2500,14500.0000
541.4000,12406.2500,14706.2500,14637.5000,14200.0000
541.3000,12543.7500,14481.2500,14268.7500,14818.7500
541.2000,12218.7500,14643.7500,14837.5000,14243.7500
541.1000,12387.5000,14756.2500,14787.5000,14487.5000
541.0000,12000.0000,14468.7500,14262.5000,14831.2500
540.9000,12075.0000,14431.2500,14543.7500,13637.5000
540.8000,12012.5000,14225.0000,14368.7500,14900.0000
540.7000,11743.7500,14631.2500,14237.5000,14656.2500
540.6000,12168.7500,14831.2500,14825.0000,14750.0000
540.5000,12281.2500,14375.0000,14562.5000,13975.0000
540.4000,11962.5000,14087.5000,14337.5000,14681.2500
540.3000,12181.2500,14531.2500,13600.0000,14575.0000
540.2000,11756.2500,14500.0000,14581.2500,14687.5000
540.1000,12562.5000,14275.0000,14443.7500,14350.0000
540.0000,12525.0000,13512.5000,14356.2500,14893.7500
539.9000,12487.5000,13775.0000,13981.2500,14606.2500
539.8000,11962.5000,14175.0000,14506.2500,14693.7500
539.7000,12237.5000,14681.2500,14206.2500,14368.7500
539.6000,12106.2500,14093.7500,14593.7500,14456.2500
539.5000,12300.0000,15212.5000,14568.7500,14450.0000
539.4000,11987.5000,14300.0000,14268.7500,14518.7500
539.3000,12156.2500,14325.0000,14318.7500,14318.7500
539.2000,11787.5000,14543.7500,14568.7500,14068.7500
539.1000,12056.2500,14175.0000,14125.0000,14375.0000
539.0000,11981.2500,14118.7500,14675.0000,14156.2500
538.9000,11781.2500,14062.5000,14418.7500,14150.0000
538.8000,11781.2500,13781.2500,14837.5000,14312.5000
538.7000,11637.5000,14500.0000,14293.7500,14068.7500
538.6000,11900.0000,14075.0000,14818.7500,14312.5000
538.5000,11968.7500,14525.0000,14000.0000,14312.5000
538.4000,11700.0000,13900.0000,14768.7500,14593.7500
538.3000,11731.2500,14437.5000,13862.5000,14125.0000
538.2000,11718.7500,14193.7500,14768.7500,14350.0000
538.1000,11700.0000,14550.0000,13825.0000,14131.2500
538.0000,11768.7500,14662.5000,14593.7500,14325.0000
537.9000,11750.0000,14606.2500,14087.5000,14225.0000
537.8000,11875.0000,14593.7500,14537.5000,14262.5000
537.7000,11993.7500,14687.5000,14475.0000,14787.5000
537.6000,11937.5000,14556.2500,14100.0000,14787.5000
537.5000,11843.7500,14825.0000,14643.7500,14612.5000
537.4000,12206.2500,14075.0000,14106.2500,14500.0000
537.3000,11456.2500,14375.0000,14456.2500,14262.5000
537.2000,12075.0000,13931.2500,14568.7500,13993.7500
537.1000,11687.5000,14550.0000,14618.7500,14681.2500
537.0000,11800.0000,14312.5000,14150.0000,14143.7500
536.9000,12137.5000,14868.7500,14712.5000,14393.7500
536.8000,12100.0000,13868.7500,15062.5000,14475.0000
536.7000,12312.5000,14562.5000,14287.5000,14368.7500
536.6000,11556.2500,14812.5000,15137.5000,14850.0000
536.5000,12112.5000,14375.0000,14581.2500,15325.0000
536.4000,11875.0000,14712.5000,14218.7500,14612.5000
536.3000,11793.7500,14968.7500,14437.5000,15081.2500
536.2000,12193.7500,14650.0000,14118.7500,14118.7500
536.1000,11875.0000,14762.5000,14543.7500,15350.0000
536.0000,11956.2500,14300.0000,14331.2500,14931.2500
535.9000,11812.5000,14756.2500,14637.5000,15112.5000
535.8000,12668.7500,14562.5000,14512.5000,14812.5000
535.7000,12256.2500,14775.0000,14812.5000,15056.2500
535.6000,11943.7500,14925.0000,14506.2500,14875.0000
535.5000,12206.2500,14993.7500,15031.2500,14818.7500
535.4000,11981.2500,15087.5000,15050.0000,15187.5000
535.3000,11937.5000,15093.7500,15212.5000,14812.5000
535.2000,11818.7500,14987.5000,15268.7500,14912.5000
535.1000,11612.5000,14962.5000,15043.7500,15612.5000
535.0000,12550.0000,15318.7500,15156.2500,14975.0000
534.9000,12356.2500,14862.5000,15406.2500,15350.0000
534.8000,12531.2500,15575.0000,15237.5000,14887.5000
534.7000,12643.7500,15025.0000,15106.2500,14950.0000
534.6000,12750.0000,15525.0000,15543.7500,14806.2500
534.5000,12312.5000,15500.0000,15443.7500,15525.0000
534.4000,12712.5000,15462.5000,15387.5000,14606.2500
534.3000,12568.7500,15368.7500,15275.0000,15518.7500
534.2000,12643.7500,15337.5000,15712.5000,14887.5000
534.1000,13018.7500,15856.2500,15206.2500,15087.5000
534.0000,12881.2500,15425.0000,15868.7500,15381.2500
533.9000,13200.0000,16231.2500,15712.5000,15668.7500
533.8000,13725.0000,15581.2500,16018.7500,16087.5000
533.7000,13725.0000,15937.5000,16106.2500,15406.2500
533.6000,13525.0000,16525.0000,16168.7500,15818.7500
533.5000,14237.5000,16168.7500,15881.2500,16275.0000
533.4000,14800.0000,16637.5000,16325.0000,15781.2500
533.3000,14675.0000,16693.7500,16250.0000,15881.2500
533.2000,14706.2500,16675.0000,17037.5000,16381.2500
533.1000,14575.0000,16625.0000,17006.2500,16643.7500
533.0000,15781.2500,16987.5000,17437.5000,16562.5000
532.9000,15468.7500,17637.5000,17512.5000,16375.0000
532.8000,16325.0000,17875.0000,18087.5000,16756.2500
532.7000,16031.2500,17850.0000,17762.5000,17562.5000
532.6000,16368.7500,18025.0000,18181.2500,17750.0000
532.5000,16681.2500,18137.5000,18393.7500,18500.0000
532.4000,17375.0000,18850.0000,19731.2500,18081.2500
532.3000,17468.7500,19375.0000,18781.2500,18612.5000
532.2000,17712.5000,20312.5000,19368.7500,19362.5000
532.1000,18187.5000,20756.2500,20856.2500,19287.5000
532.0000,18950.0000,21425.0000,20606.2500,20668.7500
531.9000,18512.5000,21881.2500,21331.2500,20743.7500
531.8000,18168.7500,22306.2500,20987.5000,21287.5000
531.7000,19675.0000,22506.2500,22925.0000,20918.7500
531.6000,18906.2500,22637.5000,21912.5000,20562.5000
531.5000,19587.5000,22725.0000,21812.5000,21593.7500
