1
 
O1s
 ,1,2,3,4
543.0000,8118.7500,5006.2500,4537.5000,4718.7500
542.9000,8543.7500,5393.7500,4462.5000,4218.7500
542.8000,7900.0000,5131.2500,4431.2500,4231.2500
542.7000,8318.7500,5200.0000,4125.0000,4193.7500
542.6000,7818.7500,4706.2500,4368.7500,3968.7500
542.5000,8368.7500,4893.7500,4106.2500,4006.2500
542.4000,7643.7500,4956.2500,4125.0000,4168.7500
542.3000,7962.5000,4918.7500,4281.2500,3937.5000
542.2000,7781.2500,4825.0000,4287.5000,4181.2500
542.1000,7956.2500,4775.0000,4281.2500,3925.0000
542.0000,7493.7500,4956.2500,4018.7500,3925.0000
541.9000,8093.7500,5018.7500,4025.0000,3768.7500
541.8000,7725.0000,4718.7500,4106.2500,3918.7500
541.7000,7881.2500,4712.5000,4068.7500,3681.2500
541.6000,7756.2500,4675.0000,3900.0000,3718.7500
541.5000,7575.0000,4681.2500,3906.2500,3725.0000
541.4000,7406.2500,4800.0000,3793.7500,3550.0000
541.3000,7756.2500,4493.7500,3968.7500,3875.0000
541.2000,7087.5000,4650.0000,3725.0000,3587.5000
541.1000,7862.5000,4481.2500,4000.0000,3437.5000
541.0000,7437.5000,4668.7500,3900.0000,3750.0000
540.9000,7443.7500,4293.7500,3806.2500,3793.7500
540.8000,7518.7500,4850.0000,3900.0000,3743.7500
540.7000,7362.5000,4731.2500,3700.0000,3843.7500
540.6000,7350.0000,4543.7500,3737.5000,3618.7500
540.5000,7231.2500,4637.5000,3737.5000,3568.7500
540.4000,6943.7500,4631.2500,3462.5000,3687.5000
540.3000,7625.0000,4475.0000,3575.0000,3543.7500
540.2000,6987.5000,4506.2500,3450.0000,3562.5000
540.1000,7387.5000,4412.5000,3612.5000,3581.2500
540.0000,7218.7500,4793.7500,3575.0000,3562.5000
539.9000,7300.0000,4643.7500,3662.5000,3631.2500
539.8000,7250.0000,4450.0000,3587.5000,3606.2500
539.7000,7218.7500,4331.2500,3718.7500,3562.5000
539.6000,7081.2500,4493.7500,3675.0000,3531.2500
539.5000,7325.0000,4668.7500,3393.7500,3806.2500
539.4000,6937.5000,4218.7500,3506.2500,3412.5000
539.3000,7243.7500,4750.0000,3425.0000,3593.7500
539.2000,7256.2500,4300.0000,3637.5000,3593.7500
539.1000,7287.5000,4856.2500,3537.5000,3437.5000
539.0000,7118.7500,4400.0000,3693.7500,3456.2500
538.9000,7087.5000,4625.0000,3481.2500,3406.2500
538.8000,7225.0000,4425.0000,3300.0000,3443.7500
538.7000,7287.5000,4406.2500,3462.5000,3487.5000
538.6000,7006.2500,4425.0000,3218.7500,3275.0000
538.5000,7043.7500,4418.7500,3487.5000,3250.0000
538.4000,6956.2500,4306.2500,3643.7500,3250.0000
538.3000,7281.2500,4406.2500,3656.2500,3250.0000
538.2000,6756.2500,4212.5000,3637.5000,3287.5000
538.1000,7150.0000,4412.5000,3581.2500,3343.7500
538.0000,6887.5000,4368.7500,3550.0000,3256.2500
537.9000,6962.5000,4262.5000,3518.7500,3156.2500
537.8000,7018.7500,4312.5000,3593.7500,3293.7500
537.7000,7025.0000,4381.2500,3575.0000,3531.2500
537.6000,7168.7500,4537.5000,3375.0000,3281.2500
537.5000,6931.2500,4512.5000,3406.2500,3393.7500
537.4000,6743.7500,4431.2500,3443.7500,3362.5000
537.3000,7125.0000,4312.5000,3568.7500,3406.2500
537.2000,6993.7500,4493.7500,3512.5000,3175.0000
537.1000,7150.0000,4118.7500,3212.5000,3306.2500
537.0000,6825.0000,4506.2500,3431.2500,3312.5000
536.9000,7231.2500,4425.0000,3537.5000,3556.2500
536.8000,7275.0000,4693.7500,3300.0000,3318.7500
536.7000,7206.2500,4343.7500,3687.5000,3606.2500
536.6000,7456.2500,4500.0000,3900.0000,3762.5000
536.5000,7400.0000,4412.5000,3662.5000,3706.2500
536.4000,7012.5000,4687.5000,3800.0000,3712.5000
536.3000,7137.5000,4431.2500,4000.0000,4281.2500
536.2000,7268.7500,5037.5000,4243.7500,4243.7500
536.1000,7343.7500,4793.7500,4462.5000,4493.7500
536.0000,7525.0000,5093.7500,4250.0000,4331.2500
535.9000,7512.5000,5118.7500,4593.7500,4731.2500
535.8000,7425.0000,5450.0000,5175.0000,4975.0000
535.7000,7681.2500,5743.7500,5093.7500,5618.7500
535.6000,7768.7500,6156.2500,5731.2500,5962.5000
